timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1563144408765,56,Cinema,200,OK,Users 1-1,text,true,,9926,131,1,1,http://localhost:8181/cinema/movies,55,0,29
1563144408826,19,Cinema,200,OK,Users 1-2,text,true,,9926,131,2,2,http://localhost:8181/cinema/movies,19,0,1
1563144408825,21,register,200,OK,Users 1-1,text,true,,4621,139,2,2,http://localhost:8181/cinema/users/register,21,0,0
1563144408845,10,register,200,OK,Users 1-2,text,true,,4621,139,1,1,http://localhost:8181/cinema/users/register,10,0,0
1563144409029,21,Cinema,200,OK,Users 1-3,text,true,,9926,131,1,1,http://localhost:8181/cinema/movies,21,0,2
1563144409051,11,register,200,OK,Users 1-3,text,true,,4621,139,1,1,http://localhost:8181/cinema/users/register,11,0,0
1563144409235,17,Cinema,200,OK,Users 1-4,text,true,,9926,131,1,1,http://localhost:8181/cinema/movies,17,0,2
1563144409252,9,register,200,OK,Users 1-4,text,true,,4621,139,1,1,http://localhost:8181/cinema/users/register,9,0,0
1563144409424,18,Cinema,200,OK,Users 1-5,text,true,,9926,131,1,1,http://localhost:8181/cinema/movies,18,0,0
1563144409443,7,register,200,OK,Users 1-5,text,true,,4621,139,1,1,http://localhost:8181/cinema/users/register,7,0,0
1563144409635,14,Cinema,200,OK,Users 1-6,text,true,,9926,131,1,1,http://localhost:8181/cinema/movies,14,0,1
1563144409649,6,register,200,OK,Users 1-6,text,true,,4621,139,1,1,http://localhost:8181/cinema/users/register,6,0,0
1563144409822,14,Cinema,200,OK,Users 1-7,text,true,,9926,131,1,1,http://localhost:8181/cinema/movies,14,0,1
1563144409837,6,register,200,OK,Users 1-7,text,true,,4621,139,1,1,http://localhost:8181/cinema/users/register,6,0,0
1563144410021,17,Cinema,200,OK,Users 1-8,text,true,,9926,131,1,1,http://localhost:8181/cinema/movies,16,0,1
1563144410038,8,register,200,OK,Users 1-8,text,true,,4621,139,1,1,http://localhost:8181/cinema/users/register,8,0,0
1563144410221,13,Cinema,200,OK,Users 1-9,text,true,,9926,131,1,1,http://localhost:8181/cinema/movies,13,0,1
1563144410235,5,register,200,OK,Users 1-9,text,true,,4621,139,1,1,http://localhost:8181/cinema/users/register,5,0,0
1563144410423,13,Cinema,200,OK,Users 1-10,text,true,,9926,131,1,1,http://localhost:8181/cinema/movies,13,0,0
1563144410437,6,register,200,OK,Users 1-10,text,true,,4621,139,1,1,http://localhost:8181/cinema/users/register,5,0,0
